image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.23708920787085305,1
"WBS0033X=WBS0033X=1=en, ja=High",0.26343390689018403,2
"WBS0022X=WBS0022X=1=en, ja=High",0.23668986779043802,3
"WBB0014X=WBB0014X=1=en, ja=High",0.1775200822620526,4
"WBB0015X=WBB0015X=1=en, ja=High",0.19434965095117365,5
"WBD0022X=WBD0022X=1=en, ja=High",0.3028405782781252,6
"WBC0074X=WBC0074X=1=en, ja=High",0.1391868903683897,7
"WBG0037X=WBG0037X=1=en, ja=High",0.2398738411879415,8
"WBS0024X=WBS0024X=1=en, ja=High",0.31085594831472574,9
"WBS0027X=WBS0027X=1=en, ja=High",0.13091218802792287,10
"WBA0025X=WBA0025X=1=en, ja=High",0.32545888050087846,11
"WBA0026X=WBA0026X=1=en, ja=High",0.28696284106381265,12
"WBA0012X=WBA0012X=1=en, ja=High",0.17343863139217297,13
"WBA0027X=WBA0027X=1=en, ja=High",0.29769074665236545,14
"WBA0028X=WBA0028X=1=en, ja=High",0.2069518818843523,15
"WBB0061X=WBB0061X=1=en, ja=High",0.24244279860413986,16
"WBC0045X=WBC0045X=1=en, ja=High",0.265706505621406,17
