image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.31765582162195904,1
"WBS0033X=WBS0033X=1=en, ja=High",0.35929347620616436,2
"WBS0022X=WBS0022X=1=en, ja=High",0.3520797261675655,3
"WBB0014X=WBB0014X=1=en, ja=High",0.36050634268768,4
"WBB0015X=WBB0015X=1=en, ja=High",0.39889445508248217,5
"WBD0022X=WBD0022X=1=en, ja=High",0.5204033038162365,6
"WBC0074X=WBC0074X=1=en, ja=High",0.2625049199969567,7
"WBG0037X=WBG0037X=1=en, ja=High",0.2571488312976695,8
"WBS0024X=WBS0024X=1=en, ja=High",0.4166984909356068,9
"WBS0027X=WBS0027X=1=en, ja=High",0.32394484203446494,10
"WBA0025X=WBA0025X=1=en, ja=High",0.30895801483472557,11
"WBA0026X=WBA0026X=1=en, ja=High",0.4861644585229563,12
"WBA0012X=WBA0012X=1=en, ja=High",0.37336891680933965,13
"WBA0027X=WBA0027X=1=en, ja=High",0.46377233481543173,14
"WBA0028X=WBA0028X=1=en, ja=High",0.36354502605192385,15
"WBB0061X=WBB0061X=1=en, ja=High",0.3547137270592366,16
"WBC0045X=WBC0045X=1=en, ja=High",0.4024339586170715,17
