image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.24401108507777525,1
"WBS0033X=WBS0033X=1=en, ja=High",0.2564069031011941,2
"WBS0022X=WBS0022X=1=en, ja=High",0.2443347115242141,3
"WBB0014X=WBB0014X=1=en, ja=High",0.2146647627552431,4
"WBB0015X=WBB0015X=1=en, ja=High",0.2662079908215918,5
"WBD0022X=WBD0022X=1=en, ja=High",0.29998038989221776,6
"WBC0074X=WBC0074X=1=en, ja=High",0.21197143915629857,7
"WBG0037X=WBG0037X=1=en, ja=High",0.2005384334584865,8
"WBS0024X=WBS0024X=1=en, ja=High",0.3808471983975555,9
"WBS0027X=WBS0027X=1=en, ja=High",0.20370218245743948,10
"WBA0025X=WBA0025X=1=en, ja=High",0.37764792782160644,11
"WBA0026X=WBA0026X=1=en, ja=High",0.419947992097792,12
"WBA0012X=WBA0012X=1=en, ja=High",0.3007269277332404,13
"WBA0027X=WBA0027X=1=en, ja=High",0.34928588580691056,14
"WBA0028X=WBA0028X=1=en, ja=High",0.30625535233331547,15
"WBB0061X=WBB0061X=1=en, ja=High",0.31200368589450955,16
"WBC0045X=WBC0045X=1=en, ja=High",0.32098555120129757,17
