image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.20115314212098526,1
"WBS0033X=WBS0033X=1=en, ja=High",0.18992755449619947,2
"WBS0022X=WBS0022X=1=en, ja=High",0.258050763553754,3
"WBB0014X=WBB0014X=1=en, ja=High",0.1769323371943573,4
"WBB0015X=WBB0015X=1=en, ja=High",0.23096229059561435,5
"WBD0022X=WBD0022X=1=en, ja=High",0.2650494580689806,6
"WBC0074X=WBC0074X=1=en, ja=High",0.16709308306865822,7
"WBG0037X=WBG0037X=1=en, ja=High",0.156573699170464,8
"WBS0024X=WBS0024X=1=en, ja=High",0.2705252554795321,9
"WBS0027X=WBS0027X=1=en, ja=High",0.1444239779509905,10
"WBA0025X=WBA0025X=1=en, ja=High",0.3160057041785603,11
"WBA0026X=WBA0026X=1=en, ja=High",0.34651173836137267,12
"WBA0012X=WBA0012X=1=en, ja=High",0.19572757637107144,13
"WBA0027X=WBA0027X=1=en, ja=High",0.23947677303229578,14
"WBA0028X=WBA0028X=1=en, ja=High",0.2185138144247442,15
"WBB0061X=WBB0061X=1=en, ja=High",0.2437213204812092,16
"WBC0045X=WBC0045X=1=en, ja=High",0.2751090623254244,17
