image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.22222713055178592,1
"WBS0033X=WBS0033X=1=en, ja=High",0.2561508992824066,2
"WBS0022X=WBS0022X=1=en, ja=High",0.28441474878092937,3
"WBB0014X=WBB0014X=1=en, ja=High",0.3252315205642731,4
"WBB0015X=WBB0015X=1=en, ja=High",0.2885862279777093,5
"WBD0022X=WBD0022X=1=en, ja=High",0.3386847094467647,6
"WBC0074X=WBC0074X=1=en, ja=High",0.2628457733439391,7
"WBG0037X=WBG0037X=1=en, ja=High",0.1827753068982553,8
"WBS0024X=WBS0024X=1=en, ja=High",0.28334104992623593,9
"WBS0027X=WBS0027X=1=en, ja=High",0.20263864295169826,10
"WBA0025X=WBA0025X=1=en, ja=High",0.3619900905327178,11
"WBA0026X=WBA0026X=1=en, ja=High",0.37360714627353253,12
"WBA0012X=WBA0012X=1=en, ja=High",0.33511071247826607,13
"WBA0027X=WBA0027X=1=en, ja=High",0.3342084675135736,14
"WBA0028X=WBA0028X=1=en, ja=High",0.3052390943091236,15
"WBB0061X=WBB0061X=1=en, ja=High",0.3279887833515027,16
"WBC0045X=WBC0045X=1=en, ja=High",0.2617179710516297,17
