image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.269289589216487,1
"WBS0033X=WBS0033X=1=en, ja=High",0.3450924785470204,2
"WBS0022X=WBS0022X=1=en, ja=High",0.3796907476762539,3
"WBB0014X=WBB0014X=1=en, ja=High",0.3923352042352017,4
"WBB0015X=WBB0015X=1=en, ja=High",0.3697525740594923,5
"WBD0022X=WBD0022X=1=en, ja=High",0.49535866630837955,6
"WBC0074X=WBC0074X=1=en, ja=High",0.35636833261802625,7
"WBG0037X=WBG0037X=1=en, ja=High",0.24543895896671264,8
"WBS0024X=WBS0024X=1=en, ja=High",0.37130184414320916,9
"WBS0027X=WBS0027X=1=en, ja=High",0.29486725138643677,10
"WBA0025X=WBA0025X=1=en, ja=High",0.43618151031191243,11
"WBA0026X=WBA0026X=1=en, ja=High",0.4257513924670353,12
"WBA0012X=WBA0012X=1=en, ja=High",0.4395265147097991,13
"WBA0027X=WBA0027X=1=en, ja=High",0.4109422003444757,14
"WBA0028X=WBA0028X=1=en, ja=High",0.44195010410595753,15
"WBB0061X=WBB0061X=1=en, ja=High",0.4174567918599502,16
"WBC0045X=WBC0045X=1=en, ja=High",0.32809297962959016,17
