image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.1932210606283232,1
"WBS0033X=WBS0033X=1=en, ja=High",0.2122490134067677,2
"WBS0022X=WBS0022X=1=en, ja=High",0.19352661134037655,3
"WBB0014X=WBB0014X=1=en, ja=High",0.3027996007236966,4
"WBB0015X=WBB0015X=1=en, ja=High",0.22414629138509767,5
"WBD0022X=WBD0022X=1=en, ja=High",0.24381748080639024,6
"WBC0074X=WBC0074X=1=en, ja=High",0.179309110813853,7
"WBG0037X=WBG0037X=1=en, ja=High",0.15272411946007516,8
"WBS0024X=WBS0024X=1=en, ja=High",0.21378027394655147,9
"WBS0027X=WBS0027X=1=en, ja=High",0.11831893374108111,10
"WBA0025X=WBA0025X=1=en, ja=High",0.2945922480704305,11
"WBA0026X=WBA0026X=1=en, ja=High",0.36132558106120133,12
"WBA0012X=WBA0012X=1=en, ja=High",0.2555940074593754,13
"WBA0027X=WBA0027X=1=en, ja=High",0.37403565243585785,14
"WBA0028X=WBA0028X=1=en, ja=High",0.2186812929986539,15
"WBB0061X=WBB0061X=1=en, ja=High",0.32797068951626,16
"WBC0045X=WBC0045X=1=en, ja=High",0.20786918260099368,17
