image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.22467691117533697,1
"WBS0033X=WBS0033X=1=en, ja=High",0.25824893460790954,2
"WBS0022X=WBS0022X=1=en, ja=High",0.2638039003923382,3
"WBB0014X=WBB0014X=1=en, ja=High",0.33802507381704106,4
"WBB0015X=WBB0015X=1=en, ja=High",0.27944695147170845,5
"WBD0022X=WBD0022X=1=en, ja=High",0.33036633502426727,6
"WBC0074X=WBC0074X=1=en, ja=High",0.24378044875089006,7
"WBG0037X=WBG0037X=1=en, ja=High",0.1904233428741328,8
"WBS0024X=WBS0024X=1=en, ja=High",0.2882196093330019,9
"WBS0027X=WBS0027X=1=en, ja=High",0.2004068565720266,10
"WBA0025X=WBA0025X=1=en, ja=High",0.3603710691823897,11
"WBA0026X=WBA0026X=1=en, ja=High",0.3756189187465945,12
"WBA0012X=WBA0012X=1=en, ja=High",0.31683347547738033,13
"WBA0027X=WBA0027X=1=en, ja=High",0.3751575834422752,14
"WBA0028X=WBA0028X=1=en, ja=High",0.2894060895160585,15
"WBB0061X=WBB0061X=1=en, ja=High",0.34556663924281267,16
"WBC0045X=WBC0045X=1=en, ja=High",0.2572435678090882,17
