image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.27370510440492896,1
"WBS0033X=WBS0033X=1=en, ja=High",0.3343978178861647,2
"WBS0022X=WBS0022X=1=en, ja=High",0.34582785319115483,3
"WBB0014X=WBB0014X=1=en, ja=High",0.40299461753624094,4
"WBB0015X=WBB0015X=1=en, ja=High",0.35342761508348836,5
"WBD0022X=WBD0022X=1=en, ja=High",0.4805933515914232,6
"WBC0074X=WBC0074X=1=en, ja=High",0.32540244527142337,7
"WBG0037X=WBG0037X=1=en, ja=High",0.22812256628819053,8
"WBS0024X=WBS0024X=1=en, ja=High",0.3848455498754163,9
"WBS0027X=WBS0027X=1=en, ja=High",0.2907747238906859,10
"WBA0025X=WBA0025X=1=en, ja=High",0.435235947612196,11
"WBA0026X=WBA0026X=1=en, ja=High",0.41459613171272136,12
"WBA0012X=WBA0012X=1=en, ja=High",0.43282401360524964,13
"WBA0027X=WBA0027X=1=en, ja=High",0.4424011605694715,14
"WBA0028X=WBA0028X=1=en, ja=High",0.42249125428574846,15
"WBB0061X=WBB0061X=1=en, ja=High",0.45761515445504414,16
"WBC0045X=WBC0045X=1=en, ja=High",0.33405231396124274,17
