image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.13107972287346764,1
"WBS0033X=WBS0033X=1=en, ja=High",0.16050531433226217,2
"WBS0022X=WBS0022X=1=en, ja=High",0.18699820117536597,3
"WBB0014X=WBB0014X=1=en, ja=High",0.29459999871583786,4
"WBB0015X=WBB0015X=1=en, ja=High",0.16782995547364957,5
"WBD0022X=WBD0022X=1=en, ja=High",0.18936938044585608,6
"WBC0074X=WBC0074X=1=en, ja=High",0.1962944761928215,7
"WBG0037X=WBG0037X=1=en, ja=High",0.16568571322772696,8
"WBS0024X=WBS0024X=1=en, ja=High",0.2883453288669126,9
"WBS0027X=WBS0027X=1=en, ja=High",0.15678693898897392,10
"WBA0025X=WBA0025X=1=en, ja=High",0.20513129211754416,11
"WBA0026X=WBA0026X=1=en, ja=High",0.2827380353572034,12
"WBA0012X=WBA0012X=1=en, ja=High",0.168935349091861,13
"WBA0027X=WBA0027X=1=en, ja=High",0.31154300015308123,14
"WBA0028X=WBA0028X=1=en, ja=High",0.3099096051801763,15
"WBB0061X=WBB0061X=1=en, ja=High",0.20410524831955068,16
"WBC0045X=WBC0045X=1=en, ja=High",0.2656460594292948,17
