image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.15011502076948177,1
"WBS0033X=WBS0033X=1=en, ja=High",0.18597093435832085,2
"WBS0022X=WBS0022X=1=en, ja=High",0.12562213862095875,3
"WBB0014X=WBB0014X=1=en, ja=High",0.07942418057085207,4
"WBB0015X=WBB0015X=1=en, ja=High",0.09350621419255466,5
"WBD0022X=WBD0022X=1=en, ja=High",0.1706407353505482,6
"WBC0074X=WBC0074X=1=en, ja=High",0.1055101551045592,7
"WBG0037X=WBG0037X=1=en, ja=High",0.17921366126466098,8
"WBS0024X=WBS0024X=1=en, ja=High",0.20419868805018637,9
"WBS0027X=WBS0027X=1=en, ja=High",0.08676849240390455,10
"WBA0025X=WBA0025X=1=en, ja=High",0.18837796310985308,11
"WBA0026X=WBA0026X=1=en, ja=High",0.08101902107287959,12
"WBA0012X=WBA0012X=1=en, ja=High",0.15992452306760366,13
"WBA0027X=WBA0027X=1=en, ja=High",0.048693693560355446,14
"WBA0028X=WBA0028X=1=en, ja=High",0.147309730693805,15
"WBB0061X=WBB0061X=1=en, ja=High",0.2669433639100577,16
"WBC0045X=WBC0045X=1=en, ja=High",0.1909511538232329,17
