image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.23289831025624894,1
"WBS0033X=WBS0033X=1=en, ja=High",0.2830368274338672,2
"WBS0022X=WBS0022X=1=en, ja=High",0.22040091634367887,3
"WBB0014X=WBB0014X=1=en, ja=High",0.17545692319638354,4
"WBB0015X=WBB0015X=1=en, ja=High",0.18152061034004258,5
"WBD0022X=WBD0022X=1=en, ja=High",0.29267549727198056,6
"WBC0074X=WBC0074X=1=en, ja=High",0.14070296180395453,7
"WBG0037X=WBG0037X=1=en, ja=High",0.2183727192254248,8
"WBS0024X=WBS0024X=1=en, ja=High",0.32867827180520637,9
"WBS0027X=WBS0027X=1=en, ja=High",0.11788890362026691,10
"WBA0025X=WBA0025X=1=en, ja=High",0.3370164785547606,11
"WBA0026X=WBA0026X=1=en, ja=High",0.2902479599721019,12
"WBA0012X=WBA0012X=1=en, ja=High",0.18460262677895325,13
"WBA0027X=WBA0027X=1=en, ja=High",0.30171412347843596,14
"WBA0028X=WBA0028X=1=en, ja=High",0.2179790442373946,15
"WBB0061X=WBB0061X=1=en, ja=High",0.25470397433561487,16
"WBC0045X=WBC0045X=1=en, ja=High",0.2626409012264386,17
