image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.309403583296004,1
"WBS0033X=WBS0033X=1=en, ja=High",0.34864206116782975,2
"WBS0022X=WBS0022X=1=en, ja=High",0.32402847610749197,3
"WBB0014X=WBB0014X=1=en, ja=High",0.35738951591718476,4
"WBB0015X=WBB0015X=1=en, ja=High",0.3857879296831629,5
"WBD0022X=WBD0022X=1=en, ja=High",0.5444431986623708,6
"WBC0074X=WBC0074X=1=en, ja=High",0.2639411920761491,7
"WBG0037X=WBG0037X=1=en, ja=High",0.23607245559333453,8
"WBS0024X=WBS0024X=1=en, ja=High",0.41735873520550043,9
"WBS0027X=WBS0027X=1=en, ja=High",0.322969809779902,10
"WBA0025X=WBA0025X=1=en, ja=High",0.32368994483189695,11
"WBA0026X=WBA0026X=1=en, ja=High",0.48701870095013733,12
"WBA0012X=WBA0012X=1=en, ja=High",0.362834919699952,13
"WBA0027X=WBA0027X=1=en, ja=High",0.49500161939061643,14
"WBA0028X=WBA0028X=1=en, ja=High",0.3645401466614476,15
"WBB0061X=WBB0061X=1=en, ja=High",0.402062060601269,16
"WBC0045X=WBC0045X=1=en, ja=High",0.3954492563197851,17
