image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.2414336958095593,1
"WBS0033X=WBS0033X=1=en, ja=High",0.2463704709740817,2
"WBS0022X=WBS0022X=1=en, ja=High",0.25557866623165326,3
"WBB0014X=WBB0014X=1=en, ja=High",0.17963233911796347,4
"WBB0015X=WBB0015X=1=en, ja=High",0.20912999574741076,5
"WBD0022X=WBD0022X=1=en, ja=High",0.31373716414860214,6
"WBC0074X=WBC0074X=1=en, ja=High",0.13770314192849403,7
"WBG0037X=WBG0037X=1=en, ja=High",0.26607140745298147,8
"WBS0024X=WBS0024X=1=en, ja=High",0.29486701396649645,9
"WBS0027X=WBS0027X=1=en, ja=High",0.1471702015686577,10
"WBA0025X=WBA0025X=1=en, ja=High",0.31466770818969475,11
"WBA0026X=WBA0026X=1=en, ja=High",0.28375125394473616,12
"WBA0012X=WBA0012X=1=en, ja=High",0.16354793572949525,13
"WBA0027X=WBA0027X=1=en, ja=High",0.29377326171766216,14
"WBA0028X=WBA0028X=1=en, ja=High",0.19698668471881106,15
"WBB0061X=WBB0061X=1=en, ja=High",0.2313078854599752,16
"WBC0045X=WBC0045X=1=en, ja=High",0.268844520067878,17
