image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.32636032050411473,1
"WBS0033X=WBS0033X=1=en, ja=High",0.3706162272333382,2
"WBS0022X=WBS0022X=1=en, ja=High",0.38544809228039045,3
"WBB0014X=WBB0014X=1=en, ja=High",0.36367801200977407,4
"WBB0015X=WBB0015X=1=en, ja=High",0.4129228456785536,5
"WBD0022X=WBD0022X=1=en, ja=High",0.4983965971187468,6
"WBC0074X=WBC0074X=1=en, ja=High",0.26108419465977606,7
"WBG0037X=WBG0037X=1=en, ja=High",0.28235750200068205,8
"WBS0024X=WBS0024X=1=en, ja=High",0.41604033232458204,9
"WBS0027X=WBS0027X=1=en, ja=High",0.324925779278573,10
"WBA0025X=WBA0025X=1=en, ja=High",0.29550868373309663,11
"WBA0026X=WBA0026X=1=en, ja=High",0.48531320757187296,12
"WBA0012X=WBA0012X=1=en, ja=High",0.3845328588776256,13
"WBA0027X=WBA0027X=1=en, ja=High",0.43624966726987424,14
"WBA0028X=WBA0028X=1=en, ja=High",0.36255532360647996,15
"WBB0061X=WBB0061X=1=en, ja=High",0.3173423086861609,16
"WBC0045X=WBC0045X=1=en, ja=High",0.40966983475082025,17
