image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.24139504196146197,1
"WBS0033X=WBS0033X=1=en, ja=High",0.2476947412794162,2
"WBS0022X=WBS0022X=1=en, ja=High",0.28160289199876726,3
"WBB0014X=WBB0014X=1=en, ja=High",0.212069439068631,4
"WBB0015X=WBB0015X=1=en, ja=High",0.25876595508232714,5
"WBD0022X=WBD0022X=1=en, ja=High",0.31681300409783525,6
"WBC0074X=WBC0074X=1=en, ja=High",0.21194332206012534,7
"WBG0037X=WBG0037X=1=en, ja=High",0.2039716723514218,8
"WBS0024X=WBS0024X=1=en, ja=High",0.3603405157141188,9
"WBS0027X=WBS0027X=1=en, ja=High",0.2185296941143048,10
"WBA0025X=WBA0025X=1=en, ja=High",0.3800236372193107,11
"WBA0026X=WBA0026X=1=en, ja=High",0.4136722976517249,12
"WBA0012X=WBA0012X=1=en, ja=High",0.31327577670008205,13
"WBA0027X=WBA0027X=1=en, ja=High",0.3370152586240018,14
"WBA0028X=WBA0028X=1=en, ja=High",0.3271811328490688,15
"WBB0061X=WBB0061X=1=en, ja=High",0.2833671851852814,16
"WBC0045X=WBC0045X=1=en, ja=High",0.33667181000986385,17
