image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.289085178142543,1
"WBS0033X=WBS0033X=1=en, ja=High",0.33764234900946455,2
"WBS0022X=WBS0022X=1=en, ja=High",0.3707074265704998,3
"WBB0014X=WBB0014X=1=en, ja=High",0.2926076354324505,4
"WBB0015X=WBB0015X=1=en, ja=High",0.3105834768448432,5
"WBD0022X=WBD0022X=1=en, ja=High",0.4159379176826126,6
"WBC0074X=WBC0074X=1=en, ja=High",0.29029706096776176,7
"WBG0037X=WBG0037X=1=en, ja=High",0.2918458778697032,8
"WBS0024X=WBS0024X=1=en, ja=High",0.4673231852202002,9
"WBS0027X=WBS0027X=1=en, ja=High",0.3347790462622011,10
"WBA0025X=WBA0025X=1=en, ja=High",0.47148262629300774,11
"WBA0026X=WBA0026X=1=en, ja=High",0.49018697031493685,12
"WBA0012X=WBA0012X=1=en, ja=High",0.44152364449321224,13
"WBA0027X=WBA0027X=1=en, ja=High",0.4509483975619139,14
"WBA0028X=WBA0028X=1=en, ja=High",0.47859301491457856,15
"WBB0061X=WBB0061X=1=en, ja=High",0.345998975810787,16
"WBC0045X=WBC0045X=1=en, ja=High",0.4265717643836104,17
