image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.23883449705117762,1
"WBS0033X=WBS0033X=1=en, ja=High",0.2395551656926637,2
"WBS0022X=WBS0022X=1=en, ja=High",0.33228625134209433,3
"WBB0014X=WBB0014X=1=en, ja=High",0.20953612129528723,4
"WBB0015X=WBB0015X=1=en, ja=High",0.25172869837152106,5
"WBD0022X=WBD0022X=1=en, ja=High",0.33564695418050927,6
"WBC0074X=WBC0074X=1=en, ja=High",0.21191521242218575,7
"WBG0037X=WBG0037X=1=en, ja=High",0.20752451366601773,8
"WBS0024X=WBS0024X=1=en, ja=High",0.341929360466702,9
"WBS0027X=WBS0027X=1=en, ja=High",0.23568525855879485,10
"WBA0025X=WBA0025X=1=en, ja=High",0.3824294260892766,11
"WBA0026X=WBA0026X=1=en, ja=High",0.4075814091750293,12
"WBA0012X=WBA0012X=1=en, ja=High",0.3269175166395244,13
"WBA0027X=WBA0027X=1=en, ja=High",0.3255775208293486,14
"WBA0028X=WBA0028X=1=en, ja=High",0.3511762642729956,15
"WBB0061X=WBB0061X=1=en, ja=High",0.2595454374331,16
"WBC0045X=WBC0045X=1=en, ja=High",0.35396998683816017,17
