image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.19890132098812177,1
"WBS0033X=WBS0033X=1=en, ja=High",0.20725777800758108,2
"WBS0022X=WBS0022X=1=en, ja=High",0.20624275884604515,3
"WBB0014X=WBB0014X=1=en, ja=High",0.2763946458562131,4
"WBB0015X=WBB0015X=1=en, ja=High",0.2305569223400621,5
"WBD0022X=WBD0022X=1=en, ja=High",0.23935973862984408,6
"WBC0074X=WBC0074X=1=en, ja=High",0.20294101137194248,7
"WBG0037X=WBG0037X=1=en, ja=High",0.13438520671474605,8
"WBS0024X=WBS0024X=1=en, ja=High",0.21623268371259524,9
"WBS0027X=WBS0027X=1=en, ja=High",0.12533501446202927,10
"WBA0025X=WBA0025X=1=en, ja=High",0.30636939419205134,11
"WBA0026X=WBA0026X=1=en, ja=High",0.3701556708196884,12
"WBA0012X=WBA0012X=1=en, ja=High",0.2633199516678246,13
"WBA0027X=WBA0027X=1=en, ja=High",0.29483026415677094,14
"WBA0028X=WBA0028X=1=en, ja=High",0.20643085314594917,15
"WBB0061X=WBB0061X=1=en, ja=High",0.29580643901626236,16
"WBC0045X=WBC0045X=1=en, ja=High",0.22216402210364788,17
