image_name,recall,id
"WBS0038X=WBS0038X=1=en, ja=High",0.2650142777598495,1
"WBS0033X=WBS0033X=1=en, ja=High",0.3564938098973514,2
"WBS0022X=WBS0022X=1=en, ja=High",0.4209050807823129,3
"WBB0014X=WBB0014X=1=en, ja=High",0.3822251538483465,4
"WBB0015X=WBB0015X=1=en, ja=High",0.38765867919818486,5
"WBD0022X=WBD0022X=1=en, ja=High",0.511060011068326,6
"WBC0074X=WBC0074X=1=en, ja=High",0.3938475835626871,7
"WBG0037X=WBG0037X=1=en, ja=High",0.26560021572357057,8
"WBS0024X=WBS0024X=1=en, ja=High",0.35867900644335327,9
"WBS0027X=WBS0027X=1=en, ja=High",0.29907662451483663,10
"WBA0025X=WBA0025X=1=en, ja=High",0.437131190481645,11
"WBA0026X=WBA0026X=1=en, ja=High",0.43752354581431413,12
"WBA0012X=WBA0012X=1=en, ja=High",0.44643986422138093,13
"WBA0027X=WBA0027X=1=en, ja=High",0.3836602794397696,14
"WBA0028X=WBA0028X=1=en, ja=High",0.46328794346710733,15
"WBB0061X=WBB0061X=1=en, ja=High",0.38377805918119273,16
"WBC0045X=WBC0045X=1=en, ja=High",0.32234254205694424,17
