image_name,f1_score,id_recall
"WBS0038X=WBS0038X=1=en, ja=High",0.8925902051585809,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8956059455374522,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9196901086410921,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9355469283417637,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9070653579087954,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9104990729307758,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9291581636968569,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9007115935257065,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9043149249798004,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9018969198791663,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9076394743638247,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9137051159893016,12
"WBA0012X=WBA0012X=1=en, ja=High",0.902647650790449,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8849701443425806,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8901623086696168,15
"WBB0061X=WBB0061X=1=en, ja=High",0.8978951313387589,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9039111945692014,17
