image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.899398454765086,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8848882703315605,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9397157222078955,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9508312847884054,4
"WBB0015X=WBB0015X=1=en, ja=High",0.9212644081808697,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9238404737555551,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9474121068856773,7
"WBG0037X=WBG0037X=1=en, ja=High",0.9229715810539132,8
"WBS0024X=WBS0024X=1=en, ja=High",0.9063332135520403,9
"WBS0027X=WBS0027X=1=en, ja=High",0.9243332418607808,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9182343557733562,11
"WBA0026X=WBA0026X=1=en, ja=High",0.9269565936748119,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9155523537673024,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8935210206278832,14
"WBA0028X=WBA0028X=1=en, ja=High",0.9337513550825631,15
"WBB0061X=WBB0061X=1=en, ja=High",0.9208880554661075,16
"WBC0045X=WBC0045X=1=en, ja=High",0.9018233506776193,17
