image_name,precision,id
"WBS0038X=WBS0038X=1=en, ja=High",0.8883633216140627,1
"WBS0033X=WBS0033X=1=en, ja=High",0.8969114908270657,2
"WBS0022X=WBS0022X=1=en, ja=High",0.9163086074613233,3
"WBB0014X=WBB0014X=1=en, ja=High",0.9366625843608993,4
"WBB0015X=WBB0015X=1=en, ja=High",0.906860666315211,5
"WBD0022X=WBD0022X=1=en, ja=High",0.9151183067972724,6
"WBC0074X=WBC0074X=1=en, ja=High",0.9202070215778269,7
"WBG0037X=WBG0037X=1=en, ja=High",0.894975316084588,8
"WBS0024X=WBS0024X=1=en, ja=High",0.8924065715131487,9
"WBS0027X=WBS0027X=1=en, ja=High",0.897624203504195,10
"WBA0025X=WBA0025X=1=en, ja=High",0.9036792216897191,11
"WBA0026X=WBA0026X=1=en, ja=High",0.915435273584172,12
"WBA0012X=WBA0012X=1=en, ja=High",0.9047393258220954,13
"WBA0027X=WBA0027X=1=en, ja=High",0.8881435073089282,14
"WBA0028X=WBA0028X=1=en, ja=High",0.8963273429786833,15
"WBB0061X=WBB0061X=1=en, ja=High",0.9065543051586188,16
"WBC0045X=WBC0045X=1=en, ja=High",0.8989931068429646,17
